instrument_token,tradingsymbol,name,expiry,strike,instrument_type,lot_size,tick_size
12186370,NIFTY2612025600CE,NIFTY,2026-01-20,25600.0,CE,65,0.05
12188162,NIFTY2612025600PE,NIFTY,2026-01-20,25600.0,PE,65,0.05
12185858,NIFTY2612025550CE,NIFTY,2026-01-20,25550.0,CE,65,0.05
12186114,NIFTY2612025550PE,NIFTY,2026-01-20,25550.0,PE,65,0.05
12188418,NIFTY2612025650CE,NIFTY,2026-01-20,25650.0,CE,65,0.05
12188674,NIFTY2612025650PE,NIFTY,2026-01-20,25650.0,PE,65,0.05
12185346,NIFTY2612025500CE,NIFTY,2026-01-20,25500.0,CE,65,0.05
12185602,NIFTY2612025500PE,NIFTY,2026-01-20,25500.0,PE,65,0.05
12188930,NIFTY2612025700CE,NIFTY,2026-01-20,25700.0,CE,65,0.05
12189186,NIFTY2612025700PE,NIFTY,2026-01-20,25700.0,PE,65,0.05
12184834,NIFTY2612025450CE,NIFTY,2026-01-20,25450.0,CE,65,0.05
12185090,NIFTY2612025450PE,NIFTY,2026-01-20,25450.0,PE,65,0.05
12189442,NIFTY2612025750CE,NIFTY,2026-01-20,25750.0,CE,65,0.05
12189698,NIFTY2612025750PE,NIFTY,2026-01-20,25750.0,PE,65,0.05
12184322,NIFTY2612025400CE,NIFTY,2026-01-20,25400.0,CE,65,0.05
12184578,NIFTY2612025400PE,NIFTY,2026-01-20,25400.0,PE,65,0.05
12189954,NIFTY2612025800CE,NIFTY,2026-01-20,25800.0,CE,65,0.05
12190210,NIFTY2612025800PE,NIFTY,2026-01-20,25800.0,PE,65,0.05
12183810,NIFTY2612025350CE,NIFTY,2026-01-20,25350.0,CE,65,0.05
12184066,NIFTY2612025350PE,NIFTY,2026-01-20,25350.0,PE,65,0.05
12190466,NIFTY2612025850CE,NIFTY,2026-01-20,25850.0,CE,65,0.05
12190722,NIFTY2612025850PE,NIFTY,2026-01-20,25850.0,PE,65,0.05
12183298,NIFTY2612025300CE,NIFTY,2026-01-20,25300.0,CE,65,0.05
12183554,NIFTY2612025300PE,NIFTY,2026-01-20,25300.0,PE,65,0.05
12190978,NIFTY2612025900CE,NIFTY,2026-01-20,25900.0,CE,65,0.05
12191234,NIFTY2612025900PE,NIFTY,2026-01-20,25900.0,PE,65,0.05
12182786,NIFTY2612025250CE,NIFTY,2026-01-20,25250.0,CE,65,0.05
12183042,NIFTY2612025250PE,NIFTY,2026-01-20,25250.0,PE,65,0.05
12191490,NIFTY2612025950CE,NIFTY,2026-01-20,25950.0,CE,65,0.05
12191746,NIFTY2612025950PE,NIFTY,2026-01-20,25950.0,PE,65,0.05
12192258,NIFTY2612026000PE,NIFTY,2026-01-20,26000.0,PE,65,0.05
12228866,NIFTY2612028100CE,NIFTY,2026-01-20,28100.0,CE,65,0.05
12229122,NIFTY2612028100PE,NIFTY,2026-01-20,28100.0,PE,65,0.05
12228354,NIFTY2612028050CE,NIFTY,2026-01-20,28050.0,CE,65,0.05
12228610,NIFTY2612028050PE,NIFTY,2026-01-20,28050.0,PE,65,0.05
12227842,NIFTY2612028000CE,NIFTY,2026-01-20,28000.0,CE,65,0.05
12228098,NIFTY2612028000PE,NIFTY,2026-01-20,28000.0,PE,65,0.05
12225794,NIFTY2612027950CE,NIFTY,2026-01-20,27950.0,CE,65,0.05
12227586,NIFTY2612027950PE,NIFTY,2026-01-20,27950.0,PE,65,0.05
12225282,NIFTY2612027900CE,NIFTY,2026-01-20,27900.0,CE,65,0.05
12225538,NIFTY2612027900PE,NIFTY,2026-01-20,27900.0,PE,65,0.05
12224770,NIFTY2612027850CE,NIFTY,2026-01-20,27850.0,CE,65,0.05
12225026,NIFTY2612027850PE,NIFTY,2026-01-20,27850.0,PE,65,0.05
12224258,NIFTY2612027800CE,NIFTY,2026-01-20,27800.0,CE,65,0.05
12224514,NIFTY2612027800PE,NIFTY,2026-01-20,27800.0,PE,65,0.05
12222722,NIFTY2612027750CE,NIFTY,2026-01-20,27750.0,CE,65,0.05
12222978,NIFTY2612027750PE,NIFTY,2026-01-20,27750.0,PE,65,0.05
12221698,NIFTY2612027700CE,NIFTY,2026-01-20,27700.0,CE,65,0.05
12221954,NIFTY2612027700PE,NIFTY,2026-01-20,27700.0,PE,65,0.05
12221186,NIFTY2612027650CE,NIFTY,2026-01-20,27650.0,CE,65,0.05
12221442,NIFTY2612027650PE,NIFTY,2026-01-20,27650.0,PE,65,0.05
12220674,NIFTY2612027600CE,NIFTY,2026-01-20,27600.0,CE,65,0.05
12220930,NIFTY2612027600PE,NIFTY,2026-01-20,27600.0,PE,65,0.05
12220162,NIFTY2612027550CE,NIFTY,2026-01-20,27550.0,CE,65,0.05
12220418,NIFTY2612027550PE,NIFTY,2026-01-20,27550.0,PE,65,0.05
12219650,NIFTY2612027500CE,NIFTY,2026-01-20,27500.0,CE,65,0.05
12219906,NIFTY2612027500PE,NIFTY,2026-01-20,27500.0,PE,65,0.05
12219138,NIFTY2612027450CE,NIFTY,2026-01-20,27450.0,CE,65,0.05
12219394,NIFTY2612027450PE,NIFTY,2026-01-20,27450.0,PE,65,0.05
12218626,NIFTY2612027400CE,NIFTY,2026-01-20,27400.0,CE,65,0.05
12218882,NIFTY2612027400PE,NIFTY,2026-01-20,27400.0,PE,65,0.05
12218114,NIFTY2612027350CE,NIFTY,2026-01-20,27350.0,CE,65,0.05
12218370,NIFTY2612027350PE,NIFTY,2026-01-20,27350.0,PE,65,0.05
12216066,NIFTY2612027300CE,NIFTY,2026-01-20,27300.0,CE,65,0.05
12217346,NIFTY2612027300PE,NIFTY,2026-01-20,27300.0,PE,65,0.05
12215554,NIFTY2612027250CE,NIFTY,2026-01-20,27250.0,CE,65,0.05
12215810,NIFTY2612027250PE,NIFTY,2026-01-20,27250.0,PE,65,0.05
12215042,NIFTY2612027200CE,NIFTY,2026-01-20,27200.0,CE,65,0.05
12215298,NIFTY2612027200PE,NIFTY,2026-01-20,27200.0,PE,65,0.05
12214530,NIFTY2612027150CE,NIFTY,2026-01-20,27150.0,CE,65,0.05
12214786,NIFTY2612027150PE,NIFTY,2026-01-20,27150.0,PE,65,0.05
12214018,NIFTY2612027100CE,NIFTY,2026-01-20,27100.0,CE,65,0.05
12214274,NIFTY2612027100PE,NIFTY,2026-01-20,27100.0,PE,65,0.05
12213506,NIFTY2612027050CE,NIFTY,2026-01-20,27050.0,CE,65,0.05
12213762,NIFTY2612027050PE,NIFTY,2026-01-20,27050.0,PE,65,0.05
12212994,NIFTY2612027000CE,NIFTY,2026-01-20,27000.0,CE,65,0.05
12213250,NIFTY2612027000PE,NIFTY,2026-01-20,27000.0,PE,65,0.05
